id,Name,Host Name,Host Listings Count,status,Previous Listing Name,Previous Host Name,Previous Host Listings Count,latitude,longitude,total_listing_bin
1393932248229725909,Art Apartment Oltrarno,David,26,New,,,0.0,43.7673267,11.2456094,5-50
1393940205441910762,Suite Vittoria,Sokol,2,New,,,0.0,43.77234664857865,11.233138750262448,2-5
1393957115025146255,Pool garden tiny house relax comfort,Stefania,10,New,,,0.0,43.75257149448544,11.2823561968819,5-50
1393995554141731999,San Michele al Duomo,Tommaso,12,New,,,0.0,43.77397526311021,11.25804518634092,5-50
1394003710551768871,Belvedere - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.74312045628876,11.243954634918229,5-50
1394010980042312996,Casa Ugo Porpora 102 di fronte alla stazione,Arianna,2,New,,,0.0,43.7761168,11.2487147,2-5
1394017323220919664,Appartamento elegante nel cuore di Firenze,Cristina,70,New (from previous),San Marco apartment - Florence,Leonardo,41.0,43.7807712,11.2571876,50+
1394036954957030982,Charme Central House,Alessandro,10,New,,,0.0,43.76841258226083,11.27069905783694,5-50
1394054206810794448,Carraia - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.74318246437893,11.244550085319537,5-50
1394062811044166964,Corte - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.74269414893003,11.24468419577028,5-50
1394069773768714621,Limonaia - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.743019693005216,11.244276500000016,5-50
1394076616582801876,Prato - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.74296931129983,11.24461553827719,5-50
1394082733093212693,Solatio - Le Piazzole Heritage,Luigi Ferdinando,6,New,,,0.0,43.74319796639146,11.243723964942948,5-50
1394110500938683406,Casa Ugo Topazio 101 di fronte alla stazione,Arianna,2,New,,,0.0,43.7761168,11.2487147,2-5
1394157850643058726,Casa Lorenz,Stefano,19,New,,,0.0,43.771319204596615,11.241791017253297,5-50
1394202592891097765,Panzani 15 apartment between Duomo and the station,Bernardo,2,New,,,0.0,43.77361519999999,11.2516525,2-5
1394258554685763522,Milton Suite,Federico,3,New,,,0.0,43.78529378598764,11.25617315741424,2-5
1394313024191964518,2 Bedroom apartment garden view,Nadir,2,New,,,0.0,43.76826,11.257,2-5
1394778067921882758,Appartamento zona residenziale,Serena,2,New,,,0.0,43.75914558619024,11.285718538472706,2-5
1394855036203427291,Ruby,Francesco,22,New,,,0.0,43.77588739999999,11.2451872,5-50
1394889107388142791,Casa Anguillara By MMega,Edoardo,404,New,,,0.0,43.7692785,11.2601668,50+
1394895475191713344,Libertà Bright and Stylish,Houseflo,9,New,,,0.0,43.7828474,11.2633462,5-50
1394908818426480372,Sunny Florence Stay with Parking,Maddalena,1,New,,,0.0,43.80519,11.23894,1
1394910211939973070,L'angolo di Laura,Laura,1,New,,,0.0,43.7688973,11.2859799,1
1394912147771942372,Art Apartment Montebello Family Home,David,26,New,,,0.0,43.7769219,11.2386977,5-50
1394914685641533531,Firenze zona stadio,Aida,1,New,,,0.0,43.7792717,11.2781978,1
1394916814227083137,Casa Salandra: una fuga moderna e confortevole,Alessio,1,New,,,0.0,43.76704109752215,11.30207098448802,1
1394957179904495085,Borghetto 53,Property,4,New,,,0.0,43.77361,11.24629,2-5
1394978571039047707,"Large Apartment with Balcony, Netflix and AC",Maria Grazia,6,New,,,0.0,43.785463821289206,11.257610893697608,5-50
1395337264688412849,Le Calle [5 min centro] con terrazza 100 mq,Nadia,3,New,,,0.0,43.8012799,11.2341318,2-5
1395437029216622162,"Old Bridge, Firenze by Short Holidays",Luca,59,New,,,0.0,43.76519,11.25378,50+
1395455494985584882,Design + Giardino | 3 Camere e 2 Bagni vicino SMN,Omar,1,New,,,0.0,43.7795032,11.2401323,1
1395491341939317111,Monalda Tower,Lorenzo,175,New,,,0.0,43.770315,11.252109,50+
1395499253327203458,Sunny Retreat Next to Historic Florence,Gianni,1,New,,,0.0,43.7736416,11.2729392,1
1395534528129540200,Studio in Santa Croce,Patrizia,14,New,,,0.0,43.769183783354094,11.26480754243062,5-50
1395541505262725169,Borghese Palace Luxury Apartment,Mattia,5,New,,,0.0,43.7708491,11.2605753,5-50
1395571191997102933,Bufalini 60 passi al DUOMO,Benedetta Amendola,38,New,,,0.0,43.77361402039841,11.258536108598326,5-50
1395573127713083183,Elegant Comfort in the Heart of Florence,Mauro,14,New,,,0.0,43.77572,11.24475,5-50
1395593991803873458,AVA Loft moderno centro città,Pasquale,4,New,,,0.0,43.78155,11.26328,2-5
1395625823472248623,Verrazzano Apartment,Marco,3,New,,,0.0,43.76768251369019,11.282276208598322,2-5
1395637835350802973,Albizi 4 bedrooms apartment,Amy,6,New,,,0.0,43.77246,11.26238,5-50
1395646465943081877,Tornabuoni Elegant Apartment,Lorenzo,175,New,,,0.0,43.77067210000001,11.2507264,50+
1395662593964628828,Central Florence Loft,Giovanni,31,New,,,0.0,43.76973419999999,11.2518015,5-50
1395669813564187296,La Serra-Stunning retreat in the heart of Florence,Memories,12,New,,,0.0,43.79543731849174,11.28005530558001,5-50
1395670662137558451,Annigoni very central to the duomo free wi fi,Alessandro,10,New,,,0.0,43.77062,11.26718,5-50
1395700957732122641,I Palpiti - Dream Villa in the heart of Florence,Memories,12,New,,,0.0,43.79424680866613,11.281435447949477,5-50
1395714548283202004,Italian Experience- Green Suite Florence,Michela,115,New,,,0.0,43.79311,11.24998,50+
1395723407173426465,Apartment with bedroom & Balcony - Florence Oasis,Mattia,5,New,,,0.0,43.7871963,11.226686,5-50
1395762928014023343,Timeless Stay [Faentina - Tuscan Vibe],Erika,25,New,,,0.0,43.79365951458658,11.272570345422842,5-50
1395827245578298835,Elegant Loft in the Heart of Florence,Mauro,14,New,,,0.0,43.7672,11.25223,5-50
1395848591706478562,[Stadio A.Franchi] Shine apartment close to center,Elisa,8,New,,,0.0,43.78011328222384,11.280393264357372,5-50
1396158667202371519,[Sun Apartment] Relax in City Center,Quality House,15,New,,,0.0,43.7719055,11.2504645,5-50
